#id  northing easting
4995 6090544 452878
4996 6090544 454379
4997 6090543 455878
4998 6090544 457379
4999 6090543 458879
5000 6090543 460378
5001 6090543 461879
5002 6090544 463379
5003 6090543 464878
5004 6090543 466379
5005 6090543 467878
5006 6090544 469378
5007 6090543 470879
5008 6090544 472378
5009 6090544 473879
5010 6090543 475378
5011 6090544 476878
5012 6090543 478379
5013 6090543 479878
5014 6090543 481379
5015 6090543 482878
5016 6090544 484379
5017 6090544 485879
5018 6090544 487378
5019 6090544 488879
5020 6090543 490378
5021 6090543 491879
5022 6090544 493378
5023 6090543 494878
5024 6090543 496379
5025 6091843 446129
5026 6091843 447629
5027 6091843 449129
5028 6091844 450629
5029 6091844 452129
5030 6091844 453628
5031 6091844 455128
5032 6091843 456628
5033 6091844 458128
5034 6091844 459628
5035 6091844 461129
5036 6091844 462629
5037 6091843 464129
5038 6091843 465629
5039 6091843 467128
5040 6091843 468628
5041 6091844 470128
5042 6091843 471629
5043 6091843 473129
5044 6091843 474629
5045 6091843 476128
5046 6091844 477628
5047 6091844 479128
5048 6091844 480629
5049 6091844 482129
5050 6091843 483629
5051 6091843 485128
5052 6091844 486628
5053 6091844 488128
5054 6091843 489629
5055 6091844 491129
5056 6091844 492629
5057 6091844 494128
5058 6091844 495628
5059 6091843 497129
5060 6093143 445378
5061 6093143 446878
5062 6093143 448379
5063 6093144 449879
5064 6093143 451379
5065 6093143 452878
5066 6093143 454378
5067 6093144 455878
5068 6093143 457378
5069 6093144 458879
5070 6093144 460379
5071 6093144 461879
5072 6093143 463379
5073 6093144 464878
5074 6093144 466378
5075 6093144 467878
5076 6093143 469378
5077 6093144 470878
5078 6093143 472378
5079 6093143 473879
5080 6093143 475379
5081 6093144 476879
5082 6093144 478379
5083 6093143 479879
5084 6093143 481379
5085 6093144 482879
5086 6093143 484378
5087 6093143 485878
5088 6093143 487378
5089 6093143 488878
5090 6093144 490378
5091 6093143 491878
5092 6093143 493378
5093 6093143 494878
5094 6093144 496378
5095 6093143 497879
5096 6094444 444628
5097 6094443 446129
5098 6094443 447628
5099 6094444 449129
5100 6094443 450628
5101 6094444 452128
5102 6094444 453629
5103 6094443 455128
5104 6094443 456629
5105 6094443 458129
5106 6094444 459628
5107 6094444 461129
5108 6094443 462629
5109 6094444 464128
5110 6094443 465629
5111 6094443 467129
5112 6094444 468628
5113 6094444 470129
5114 6094444 471629
5115 6094443 473128
5116 6094444 474629
5117 6094444 476129
5118 6094443 477628
5119 6094443 479129
5120 6094443 480629
5121 6094443 482128
5122 6094444 483628
5123 6094443 485129
5124 6094443 486628
5125 6094443 488128
5126 6094444 489629
5127 6094443 491129
5128 6094443 492628
5129 6094443 494128
5130 6094443 495629
5131 6094444 497128
5132 6094443 498628
5133 6095744 443878
5134 6095744 445379
5135 6095744 446879
5136 6095744 448378
5137 6095743 449879
5138 6095744 451379
5139 6095744 452878
5140 6095744 454379
5141 6095744 455878
5142 6095743 457379
5143 6095743 458879
5144 6095743 460378
5145 6095743 461879
5146 6095744 463378
5147 6095743 464879
5148 6095743 466378
5149 6095743 467878
5150 6095743 469379
5151 6095744 470878
5152 6095744 472379
5153 6095744 473878
5154 6095744 475379
5155 6095743 476878
5156 6095744 478379
5157 6095744 479878
5158 6095744 481378
5159 6095743 482879
5160 6095744 484378
5161 6095744 485879
5162 6095744 487378
5163 6095744 488879
5164 6095743 490378
5165 6095744 491879
5166 6095744 493378
5167 6095744 494879
5168 6095743 496378
5169 6095744 497879
5170 6095744 499378
5171 6097033 443128
5172 6097034 444629
5173 6097034 446129
5174 6097034 447629
5175 6097033 449129
5176 6097034 450628
5177 6097033 452128
5178 6097033 453628
5179 6097033 455129
5180 6097034 456629
5181 6097033 458129
5182 6097033 459628
5183 6097033 461128
5184 6097034 462628
5185 6097033 464129
5186 6097034 465629
5187 6097034 467129
5188 6097034 468628
5189 6097033 470128
5190 6097034 471629
5191 6097034 473129
5192 6097034 474629
5193 6097033 476128
5194 6097034 477628
5195 6097034 479129
5196 6097034 480629
5197 6097034 482128
5198 6097033 483628
5199 6097034 485128
5200 6097034 486629
5201 6097034 488129
5202 6097033 489628
5203 6097034 491128
5204 6097033 492629
5205 6097033 494129
5206 6097034 495628
